address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
,attraction,28330,52.356361,4.997021,Amsterdam,"IJburg volgens mij.",524d856811d26e06a424282f,0,"Other Great Outdoors",http://tour-pedia.org/api/getPlaceDetails?id=28330,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28330
Diemerparklaan,attraction,28331,52.352236531042,4.987964630127,Amsterdam,Diemerpark,4bd40042046076b014457771,0,Park,http://tour-pedia.org/api/getPlaceDetails?id=28331,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28331
,attraction,28332,52.356348786985,4.9969601915438,Amsterdam,IJmeer,5219e43f11d2aaa44d88c2a7,0,"Other Great Outdoors",http://tour-pedia.org/api/getPlaceDetails?id=28332,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28332
,attraction,28333,52.356276,4.997254,Amsterdam,"Mijn balkon met stoel uit Burkina Faso",4f8be29ce4b09582a452625f,0,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=28333,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28333
,attraction,28334,52.356464,4.996969,Amsterdam,Diemerparklaan,4e2919b145ddfe8f9df902c6,0,"Other Great Outdoors",http://tour-pedia.org/api/getPlaceDetails?id=28334,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28334
,attraction,28335,52.356452,4.997056,Amsterdam,Polygoongracht,4e62644245ddda35298c57df,0,Pool,http://tour-pedia.org/api/getPlaceDetails?id=28335,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28335
"krijn taconiskade",attraction,28336,52.353173633184,5.0047123432159,Amsterdam,"Jachthaven ijburg",4bd454b99854d13a955aff4d,0,"Surf Spot",http://tour-pedia.org/api/getPlaceDetails?id=28336,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28336
,attraction,28337,52.356383,4.996973,Amsterdam,"Tuin Van Vrienden",51b76f60498e5631da2e8e6f,0,Garden,http://tour-pedia.org/api/getPlaceDetails?id=28337,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28337
,attraction,28338,52.358934,4.996342,Amsterdam,Zeeburg,50734031e4b06d8f8ac836b4,0,Neighborhood,http://tour-pedia.org/api/getPlaceDetails?id=28338,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28338
,attraction,28339,52.357586959523,4.9929842678129,Amsterdam,"Maria Austriastraat in Ijburg",4bc091dc74a9a5931333d0f6,0,"Other Great Outdoors",http://tour-pedia.org/api/getPlaceDetails?id=28339,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28339
,attraction,28340,52.356570785914,4.9921367599502,Amsterdam,IJburglaan,510a274ae4b0cea390a7a6a9,0,"Other Great Outdoors",http://tour-pedia.org/api/getPlaceDetails?id=28340,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28340
Talbotstraat,attraction,28341,52.357249384329,4.9957458829493,Amsterdam,"Speeltuin Talbotstraat",5183dd27498e938b2e54121f,0,Playground,http://tour-pedia.org/api/getPlaceDetails?id=28341,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28341
,attraction,28343,52.357778,4.992011,Amsterdam,iBurg,522a3f8e11d27ece160bfaf2,0,Island,http://tour-pedia.org/api/getPlaceDetails?id=28343,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28343
"Emmy Andriessestraat",attraction,28344,52.350178768514,5.0053882598877,Amsterdam,"Theo van Goghpark",4bd98b2f0115c9b692a07780,0,Park,http://tour-pedia.org/api/getPlaceDetails?id=28344,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28344
,attraction,28345,52.355045,4.996358,Amsterdam,"Marc's Place",5218930e11d24839f9deec01,0,"Beer Garden",http://tour-pedia.org/api/getPlaceDetails?id=28345,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28345
,attraction,28346,52.359315,4.996258,Amsterdam,"Bert Haanstra Kade",4d9a9bc603d8721ea5bed524,0,"Scenic Lookout",http://tour-pedia.org/api/getPlaceDetails?id=28346,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28346
"IJburg buitenom",attraction,28347,52.355692244205,4.9947434363994,Amsterdam,"Rondje IJburg",4fb12907e4b0b84e1d8df192,0,"Athletics & Sports",http://tour-pedia.org/api/getPlaceDetails?id=28347,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28347
