address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
,restaurant,26153,52.354060873366,4.9978353949458,Amsterdam,Mchi,4e246becfa761d671099a2ba,0,"Asian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=26153,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26153
26154,"Bagels & Beans","IJburglaan 567",restaurant,Amsterdam,52.358377619144,4.9896552076208,http://tour-pedia.org/api/getPlaceDetails?id=26154,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26154
"Krijn Taconiskade 124",restaurant,26155,52.352924614972,5.0033926963806,Amsterdam,"NAP Amsterdam",4ab5154ff964a520587220e3,0,Diner,http://tour-pedia.org/api/getPlaceDetails?id=26155,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26155
IJburglaan,restaurant,26156,52.355083823204,4.9949759244919,Amsterdam,Drum'z,4c3b5bde5810a5933c8aba3c,0,"Mediterranean Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=26156,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26156
,restaurant,26157,52.356428,4.996947,Amsterdam,"Koffie met een zoetje",4f3ca5b9e4b0c30dfecaef16,0,"Breakfast Spot",http://tour-pedia.org/api/getPlaceDetails?id=26157,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26157
"IJburglaan 1489",restaurant,26159,52.35202027388,5.0016009807587,Amsterdam,"Espressofabriek IJburg",4a26fff6f964a520a0811fe3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=26159,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26159
"Krijn Taconiskade",restaurant,26160,52.353726625442,5.006233,Amsterdam,"The Lighthouse Harbour Club IJburg",4c41f62bce54e21e99e20b1a,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=26160,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26160
"Joris Ivensplein, 1087 Zeeburg",restaurant,26162,52.358295427796,4.9902251898939,Amsterdam,"Vinny's Bakery",4f867969e4b095775b7cef8a,0,Bakery,http://tour-pedia.org/api/getPlaceDetails?id=26162,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26162
"IJburglaan 1363",restaurant,26164,52.353241,4.999116,Amsterdam,"Family Snackbar",4b533f30f964a520ef9327e3,0,"Snack Place",http://tour-pedia.org/api/getPlaceDetails?id=26164,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26164
,restaurant,26165,52.353107,5.005502,Amsterdam,"Firma Koek",523c772011d2578439f5ff91,0,Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=26165,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26165
"Joris Ivensplein 54",restaurant,26166,52.358853060064,4.9906712393568,Amsterdam,"Gill's Fastfood",4a2704eff964a52085861fe3,0,"Fast Food Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=26166,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26166
,restaurant,26169,52.355823,4.994867,Amsterdam,"IJburg Blok4 BBQ",4e2b17ebfa76bbf847d5a085,0,"BBQ Joint",http://tour-pedia.org/api/getPlaceDetails?id=26169,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26169
,restaurant,26170,52.355686995544,4.9994739087528,Amsterdam,"Ijssalon Het Ijsbonbonnetje@ Pampuslaan",4dc2e4c97d8b686fa487bfd0,0,"Ice Cream Shop",http://tour-pedia.org/api/getPlaceDetails?id=26170,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26170
,restaurant,26171,52.35584,4.99431,Amsterdam,IJverig,505dc50be4b03a383a75192b,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=26171,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26171
Ijburglaan,restaurant,26172,52.353312963692,4.999286183703,Amsterdam,"Family Diner",4dfb929218386e743d98a724,0,Food,http://tour-pedia.org/api/getPlaceDetails?id=26172,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26172
"Krijn Taconiskade (IJburg)",restaurant,26174,52.352938593197,5.0051573419475,Amsterdam,"Restaurant Zen",4f1d6e3ee4b0d9f8bb5aee79,0,"Japanese Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=26174,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26174
"Ijburglaan 2191A",restaurant,26175,52.354645534639,4.9960871608011,Amsterdam,Mayshaan,4f0afdfbe4b0d6422d6b7eaf,0,"Breakfast Spot",http://tour-pedia.org/api/getPlaceDetails?id=26175,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26175
,restaurant,26176,52.354184,4.997325,Amsterdam,"pizzeria IJburg",51f29efa498edc5ec65fa42c,0,"Pizza Place",http://tour-pedia.org/api/getPlaceDetails?id=26176,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26176
,restaurant,26177,52.355575,5.000836,Amsterdam,"IJs & Zo",4e19a461fa761946459c6b42,0,"Ice Cream Shop",http://tour-pedia.org/api/getPlaceDetails?id=26177,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26177
,restaurant,26178,52.353511810303,4.9959411621094,Amsterdam,"Sebsoft Hq",50df21efe4b08db595e016f3,0,"BBQ Joint",http://tour-pedia.org/api/getPlaceDetails?id=26178,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26178
"IJburglaan 1501",restaurant,26180,52.351620523007,5.0024271011353,Amsterdam,"De Keuken van Tante Til",4b7aedd5f964a520c2462fe3,0,"Deli / Bodega",http://tour-pedia.org/api/getPlaceDetails?id=26180,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=26180
