address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Rigaer Straße 25",restaurant,91911,52.517113887391,13.46175956167,Berlin,Casablanca,4a944034f964a520ec2020e3,0,"Falafel Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=91911,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91911
"Fasanenstr. 9-10",restaurant,91920,52.506011569827,13.32805032307,Berlin,"Hotel Savoy Berlin",4adcda6ef964a520ca4421e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=91920,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91920
"Gubener Str. 42",restaurant,91947,52.511193329824,13.449347019196,Berlin,"Upstalsboom Hotel",4adcda70f964a520094521e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=91947,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91947
"Bleibtreustr. 31",restaurant,91956,52.500142117474,13.319578369231,Berlin,"Hotel Bleibtreu",4adcda70f964a520f34421e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=91956,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=91956
"Augsburger Str. 41",restaurant,92003,52.502707245292,13.331705331802,Berlin,"Hotel Concorde Berlin",4adcda72f964a520484521e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=92003,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92003
"Anhalter Str. 8-9",restaurant,92007,52.504889734436,13.385203007038,Berlin,"relexa hotel Stuttgarter Hof",4adcda72f964a5204d4521e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=92007,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92007
"Neuendorfer Str. 1",restaurant,92019,52.540717146866,13.206662999648,Berlin,"Brauhaus Spandau",4adcda73f964a520654521e3,0,Brewery,http://tour-pedia.org/api/getPlaceDetails?id=92019,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92019
"Kleine Hamburger Str. 16",restaurant,92022,52.527243,13.396631,Berlin,Strandbad-Mitte,4adcda74f964a520774521e3,0,"Breakfast Spot",http://tour-pedia.org/api/getPlaceDetails?id=92022,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92022
"Prenzlauer Allee  47",restaurant,92032,52.53701698908,13.423297405243,Berlin,Übereck,4adcda75f964a520904521e3,0,Pub,http://tour-pedia.org/api/getPlaceDetails?id=92032,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92032
"Brüsseler Str. 39",restaurant,92034,52.546727569166,13.349604916224,Berlin,"L' Escargot",4adcda75f964a520944521e3,0,"French Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=92034,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92034
92039,"Lutter & Wegner","Charlottenstraße 56, Berlin, Germany",restaurant,Berlin,52.51338,13.3911,http://tour-pedia.org/api/getPlaceDetails?id=92039,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92039
"Oranienplatz 11-13",restaurant,92052,52.502578496933,13.41651005,Berlin,KuchenKaiser,4adcda76f964a520c04521e3,0,"German Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=92052,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=92052
