address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Sheikh Zayed Road",restaurant,114414,25.223014891762,55.285799503326,Dubai,"Ibis - World Trade Centre Dubai",4b0587eaf964a5209ea622e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=114414,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114414
"Jumeirah Beach Hotel",restaurant,114528,25.141867,55.190518,Dubai,"Palm Court",4b0587edf964a5205aa722e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=114528,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114528
"Near the Dubai Creek Golf and Yatch Club",restaurant,114560,25.243644,55.332521,Dubai,"Cafe Arabesque",4b0587eef964a52098a722e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=114560,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114560
"Opp Bur Juman",restaurant,114561,25.248801798183,55.313509366234,Dubai,"Mirchi Indian Restaurant",4b0587eef964a5209aa722e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114561,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114561
"Al Qasr Hotel, Madinat Jumeirah",restaurant,114564,25.131259534087,55.184154510498,Dubai,"Al Fayrooz Lounge",4b0587eef964a520a3a722e3,0,"Coffee Shop",http://tour-pedia.org/api/getPlaceDetails?id=114564,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114564
"Ibn Buttuta Mall",restaurant,114583,25.046998099342,55.121943564824,Dubai,"Lime Tree Cafe",4b0587eef964a520cba722e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=114583,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114583
"Marco Polo Hotel Dubai",restaurant,114611,25.273646824476,55.318844685195,Dubai,"Bombay Brasserie",4b0587eff964a5202ea822e3,0,"Indian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114611,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114611
"Bank Street",restaurant,114637,25.190152962247,55.25626185145,Dubai,"Tasty Burger",4b0587f0f964a5203ca822e3,0,"American Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114637,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114637
"Al Mina Road",restaurant,114639,25.242089596932,55.27657078612,Dubai,"Savage Garden",4b0587f0f964a52043a822e3,0,"South American Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114639,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114639
"One Shaikh Zayed Road",restaurant,114646,25.230225797003,55.287064442304,Dubai,"One on One",4b0587f0f964a5205ea822e3,0,Bar,http://tour-pedia.org/api/getPlaceDetails?id=114646,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114646
"Wafi City, 1st Floor",restaurant,114648,25.230029632574,55.318889915943,Dubai,"Wafi Gourmet وافي جورميه",4b0587f0f964a52064a822e3,0,"Middle Eastern Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114648,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114648
"Al Riqqa Street",restaurant,114649,25.262253,55.322886,Dubai,"Sakura at Taj Palace Hotel",4b0587f0f964a52066a822e3,0,"Japanese Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114649,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114649
"Al Qutaeyat Road",restaurant,114652,25.228371072907,55.328328109256,Dubai,Andiamo,4b0587f0f964a5206ca822e3,0,"Indian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114652,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114652
"Al Qutaeyat Road",restaurant,114653,25.228702489407,55.328295703987,Dubai,iZ,4b0587f1f964a5206da822e3,0,"Indian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114653,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114653
"Al Qutaeyat Road",restaurant,114654,25.227097892061,55.32598956015,Dubai,Peppercrab,4b0587f1f964a5206ea822e3,0,"Asian Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114654,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114654
"Al Qasr, Madinat Jumeirah",restaurant,114661,25.129433436072,55.183897018433,Dubai,Magnolia,4b0587f1f964a52078a822e3,0,"Vegetarian / Vegan Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114661,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114661
"Park Hyatt",restaurant,114663,25.243737938651,55.332378863503,Dubai,"Thai Kitchen",4b0587f1f964a5207ba822e3,0,"Thai Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114663,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114663
"Al Rigga Road",restaurant,114664,25.265034198614,55.320904254913,Dubai,"Golden Fork",4b0587f1f964a5207ca822e3,0,Restaurant,http://tour-pedia.org/api/getPlaceDetails?id=114664,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114664
"Sheikh Zayed Road",restaurant,114665,25.226194847668,55.284289760841,Dubai,Cascades,4b0587f1f964a52081a822e3,0,"Breakfast Spot",http://tour-pedia.org/api/getPlaceDetails?id=114665,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114665
"2nd Street & 55th Street",restaurant,114666,25.252109714512,55.336890220642,Dubai,"Al Dahleez",4b0587f1f964a52084a822e3,0,"Middle Eastern Restaurant",http://tour-pedia.org/api/getPlaceDetails?id=114666,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114666
