address,category,id,lat,lng,location,name,originalId,polarity,subCategory,details,reviews
"Via Lombardia 47",restaurant,28,41.90793,12.486513,Rome,"Sofitel Rome Villa Borghese",4adcdabef964a520295121e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=28,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=28
"Via della Fontanella 15",restaurant,30,41.9092441,12.4774966,Rome,"Hotel Valadier",4adcdabef964a5202c5121e3,0,Hotel,http://tour-pedia.org/api/getPlaceDetails?id=30,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=30
"Via Veneto 141",restaurant,114,41.908093874474,12.489372618896,Rome,"h club > doney",4adcdac2f964a520005221e3,0,"Cocktail Bar",http://tour-pedia.org/api/getPlaceDetails?id=114,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=114
116,Giolitti,"Via degli Uffici del Vicario, 40, Rome, Italy",restaurant,Rome,41.901048,12.477302,http://tour-pedia.org/api/getPlaceDetails?id=116,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=116
117,"Palazzo del Freddo","Via Principe Eugenio, 65, Rome, Italy",restaurant,Rome,41.89362,12.5081,http://tour-pedia.org/api/getPlaceDetails?id=117,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=117
131,Giolitti,"Viale Oceania 90",restaurant,Rome,41.828870030082,12.4616955572,http://tour-pedia.org/api/getPlaceDetails?id=131,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=131
"16 Viale Parioli",restaurant,132,41.923837203789,12.490873408386,Rome,"Il Cigno",4adcdac2f964a520195221e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=132,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=132
133,"Gelato di San Crispino (Il)","Via Acaia, 55, Roma, Italy",restaurant,Rome,41.876098,12.507724,http://tour-pedia.org/api/getPlaceDetails?id=133,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=133
"Via Ostiense,95",restaurant,173,41.871152813905,12.48002672893,Rome,"BiblioCaffè Letterario",4adcdac4f964a520885221e3,0,Café,http://tour-pedia.org/api/getPlaceDetails?id=173,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=173
218651,"Bar Meeting Cafè presso IFO","via fermo ognibene 23, Rome, 00144, Italy",restaurant,Rome,41.8034723036,12.4525288255,http://tour-pedia.org/api/getPlaceDetails?id=218651,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=218651
218656,"Adami Ristorante Roma","viale giulio cesare 195, Rome, 00100, Italy",restaurant,Rome,41.9089721155,12.4567913693,http://tour-pedia.org/api/getPlaceDetails?id=218656,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=218656
218657,"Mc Donalds @ Viale Giulio Cesare","Rome, , Italy",restaurant,Rome,41.908959853035,12.456539137994,http://tour-pedia.org/api/getPlaceDetails?id=218657,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=218657
218658,"Mcdonald Ottaviano","Rome, , Italy",restaurant,Rome,41.9089810405,12.456538311,http://tour-pedia.org/api/getPlaceDetails?id=218658,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=218658
218661,"BAIA BLU","via pio foà 6 ang via vitellia 35, Rome, 00152, Italy",restaurant,Rome,41.8712575636,12.4569051343,http://tour-pedia.org/api/getPlaceDetails?id=218661,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=218661
218664,"Sushiko Castel Romano","Via del Ponte di Piscina Cupa, Castel Romano, 00128, Italy",restaurant,Rome,41.7146847571,12.4453824248,http://tour-pedia.org/api/getPlaceDetails?id=218664,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=218664
218667,"Pippo Bar","Viale Angelico, 91, Rome, 00195, Italy",restaurant,Rome,41.9171165066,12.4585093154,http://tour-pedia.org/api/getPlaceDetails?id=218667,http://tour-pedia.org/api/getReviewsByPlaceId?placeId=218667
